,Pos.,Giocatore,Price,Overall
272,273,Sami Khedira\38ac43d3,26.0,top
273,274,Simon Kjær\8b8a56ce,17.0,normal
274,275,Simon Kjær\8b8a56ce,17.0,normal
275,276,Ragnar Klavan\008a6e6d,1.0,bad
276,277,Justin Kluivert\4c3a6744,1.0,bad
277,278,Aleksandar Kolarov\eda40760,27.0,top
278,279,Christian Kouamé\58e933d2,15.0,normal
279,280,Christian Kouamé\58e933d2,15.0,normal
280,281,Kalidou Koulibaly\da974c7b,59.0,top
281,282,Ladislav Krejčí\58027adc,3.0,bad
282,283,Rade Krunić\817c6964,3.0,normal
283,284,Juraj Kucka\5aaef9ef,5.0,bad
284,285,Dejan Kulusevski\df3cda47,23.0,normal
285,286,Marash Kumbulla\a40819d9,1.0,bad
286,287,Jasmin Kurtić\144607cc,1.0,bad
287,288,Jasmin Kurtić\144607cc,1.0,bad
288,289,Giorgos Kyriakopoulos\0a483542,1.0,bad
289,290,Antonino La Gumina\822a7761,3.0,bad
290,291,Andrea La Mantia\c375dfa5,2.0,bad
291,292,Riccardo Ladinetti\ff4296df,1.0,bad
292,293,Gianluca Lapadula\2ead2809,6.0,bad
293,294,Danilo Larangeira\fed5f993,1.0,bad
294,295,Kevin Lasagna\09538fdb,17.0,normal
295,296,Vincent Laurini\3535098b,1.0,normal
296,297,Diego Laxalt\f26e3c59,1.0,bad
297,298,Diego Laxalt\f26e3c59,4.0,normal
298,299,Valentino Lazaro\016ff750,18.0,normal
299,300,Darko Lazović\5128bde4,1.0,bad
300,301,Manuel Lazzari\02caf6e0,13.0,normal
301,302,Rafael Leão\20730eae,28.0,normal
302,303,Lucas Leiva\4c78b5ed,12.0,normal
303,304,Lukas Lerager\1b82f8df,1.0,bad
304,305,Mehdi Léris\7d3cbc67,1.0,bad
305,306,Karlo Letica\4a6914ff,1.0,bad
306,307,Matthijs de Ligt\d6e53a3a,65.0,top
307,308,Anderson Lima\59be3a74,3.0,bad
308,309,Karol Linetty\d023d70f,3.0,bad
309,310,Pol Lirola\ff800ed8,3.0,bad
310,311,Fernando Llorente\82dbf623,15.0,top
311,312,Stanislav Lobotka\e1cbb531,1.0,bad
312,313,Manuel Locatelli\a8a874f1,15.0,normal
313,314,Pau López\20b9f052,4.0,normal
314,315,Matteo Lovato\5fa57166,1.0,bad
315,316,Hirving Lozano\a69e4806,37.0,top
316,317,Fabio Lucioni\8efa621b,1.0,bad
317,318,José Luis Palomino\921f6058,1.0,bad
318,319,Jordan Lukaku\0cd0e21b,80.0,top
319,320,Romelu Lukaku\5eae500a,80.0,top
320,321,Saša Lukić\c6e8cf1f,4.0,bad
321,322,Senad Lulić\7fd58fe3,3.0,bad
322,323,Sebastiano Luperto\997fff07,3.0,bad
323,324,Lyanco\b5bf1770,3.0,bad
324,325,Charalambos Lykogiannis\5efc5389,1.0,bad
325,326,Francesco Magnanelli\07767f42,1.0,bad
326,327,Giangiacomo Magnani\cce9f582,1.0,bad
327,328,Giangiacomo Magnani\cce9f582,1.0,bad
328,329,Žan Majer\bf13975c,1.0,bad
329,330,Nikola Maksimović\16b9d5cf,1.0,bad
330,331,Kévin Malcuit\d6a889ea,9.0,bad
331,332,Daniel Maldini\801831fe,5.0,bad
332,333,Ruslan Malinovskyi\48d5bd33,1.0,bad
333,334,Gianluca Mancini\5aa53281,4.0,bad
334,335,Marco Mancosu\2c3a6c21,3.0,bad
335,336,Rolando Mandragora\c7259b83,1.0,bad
336,337,Massimiliano Mangraviti\33914f14,1.0,bad
337,338,Kostas Manolas\c707411f,30.0,top
338,339,Giacomo Manzari\d8dfae8a,1.0,bad
339,340,Gian Marco Ferrari\8650af85,1.0,bad
340,341,Federico Marigosu\66a9470c,1.0,bad
341,342,Marlon\cdf65d12,1.0,bad
342,343,Gonzalo Maroni\e01ca8f4,1.0,bad
343,344,Bruno Martella\1e12c53b,1.0,bad
344,345,Lautaro Martínez\f7036e1c,36.0,top
345,346,Adam Marušić\d4535821,1.0,normal
346,347,Andrea Masiello\e0314d87,4.0,bad
347,348,Andrea Masiello\e0314d87,4.0,bad
348,349,Aleš Matějů\deb748c9,1.0,bad
349,350,Alessandro Matri\58d97e77,7.0,bad
350,351,Federico Mattiello\fba81826,6.0,bad
351,352,Blaise Matuidi\c0cddebe,26.0,top
352,353,Luca Mazzitelli\dc61b402,1.0,bad
353,354,Ibrahima Mbaye\cfbf9881,1.0,normal
354,355,Biagio Meccariello\1eeeff8a,1.0,bad
355,356,Gary Medel\563a68ad,1.0,bad
356,357,Soualiho Meïté\5cec2c74,1.0,bad
357,358,Alex Meret\9413b19f,30.0,top
358,359,Yıldırım Mert Çetin\c730da00,1.0,bad
359,360,Dries Mertens\89b2c8a9,51.0,top
360,361,Kingsley Michael\e63e122d,1.0,bad
361,362,Nikola Milenković\bee704fc,3.0,bad
362,363,Arkadiusz Milik\85613cf0,30.0,top
363,364,Sergej Milinković-Savić\4e6dbac4,1.0,bad
364,365,Vincenzo Millico\6817095b,1.0,bad
365,366,Antonio Mirante\30223b33,8.0,normal
366,367,Simone Missiroli\331c0a43,6.0,bad
367,368,Henrikh Mkhitaryan\dd0daf32,36.0,top
368,369,Gabriele Moncini\c4efe2b4,3.0,bad
369,370,Ilario Monterisi\31b252fc,4.0,bad
370,371,Raúl Moro\919dd4b1,1.0,bad
371,372,Leonardo Morosini\d89b0ebb,6.0,bad
372,373,Victor Moses\e726e11e,1.0,bad
373,374,Mert Müldür\1295552e,1.0,bad
374,375,Simone Muratore\04989945,3.0,bad
375,376,Alessandro Murgia\fb2c533b,1.0,bad
376,377,Luis Muriel\eb2fe5b6,27.0,top
377,378,Jeison Murillo\b233e8e4,1.0,bad
378,379,Nicola Murru\d183e9d6,1.0,bad
379,380,Mateo Musacchio\91899ca8,20.0,normal
380,381,Juan Musso\a111cf41,23.0,top
381,382,Radja Nainggolan\1f9328da,36.0,top
382,383,Nahitan Nández\95facda1,1.0,bad
383,384,Michel Ndary Adopo\599d91d0,1.0,bad
384,385,Emanuele Ndoj\482145e9,1.0,bad
385,386,Ilija Nestorovski\b1236c63,1.0,bad
386,387,Nicolas Nkoulou\93cf32a8,1.0,bad
387,388,Bram Nuytinck\e33f36d5,1.0,bad
388,389,Pedro Obiang\ba1e04b3,1.0,bad
389,390,Stefano Okaka\601ef102,2.0,bad
390,391,Christian Oliva\d3b888e3,1.0,bad
391,392,Maximiliano Olivera\32a33c68,1.0,bad
392,393,Marco Olivieri\f5ba8903,1.0,bad
393,394,Robin Olsen\e7ee38c3,1.0,bad
394,395,Nicholas Opoku\b871bf55,1.0,bad
395,396,Riccardo Orsolini\e14ec482,27.0,normal
396,397,David Ospina\82b1198a,17.0,top
397,398,Daniele Padelli\cf1c23d8,3.0,normal
398,399,Marko Pajač\5df4ef30,18.0,normal
399,400,Rodrigo Palacio\8d8178ac,7.0,bad
400,401,Alberto Paloschi\b5cae4e6,9.0,bad
401,402,Alberto Paloschi\b5cae4e6,9.0,bad
402,403,Martin Palumbo\f8d41a8c,7.0,bad
403,404,Goran Pandev\d711d04f,6.0,bad
404,405,Andrea Papetti\4195b8b6,4.0,bad
405,406,Lucas Paquetá\9b6f7fd5,25.0,normal
406,407,Marco Parolo\ed5886d2,17.0,normal
407,408,Mario Pašalić\e599253a,10.0,normal
408,409,Javier Pastore\881ef58c,17.0,normal
409,410,Patric\f7223718,1.0,bad
410,411,Leonardo Pavoletti\d37b0350,5.0,bad
411,412,Nehuén Paz\42b1a58a,1.0,bad
412,413,Nehuén Paz\42b1a58a,1.0,bad
413,414,Giampaolo Pazzini\6ca663b4,6.0,bad
414,415,Pedro\1ab6fad3,17.0,normal
415,416,João Pedro\81255c03,16.0,normal
416,417,Daouda Peeters\e83f8ebb,2.0,bad
417,418,Gianluca Pegolo\f058ed1f,5.0,bad
418,419,Lorenzo Pellegrini\4a5a45c7,17.0,normal
419,420,Luca Pellegrini\3b61c9ec,10.0,normal
420,421,Federico Peluso\4f2908e5,2.0,bad
421,422,Gastón Pereiro\7ec7738e,1.0,bad
422,423,Bruno Peres\852351df,1.0,bad
423,424,Carles Pérez\a8f21b9f,1.0,bad
424,425,Mattia Perin\4c62d0c8,20.0,top
425,426,Diego Perotti\a40d5a0c,20.0,top
426,427,Matteo Pessina\780e3631,15.0,normal
427,428,Andrea Petagna\03f946ed,16.0,normal
428,429,Jacopo Petriccione\909bce7f,4.0,bad
429,430,Germán Pezzella\8c725b43,7.0,bad
430,431,Giuseppe Pezzella\149c5f5d,7.0,bad
431,432,Giuseppe Pezzella\149c5f5d,7.0,bad
432,433,Krzysztof Piątek\17f3620a,34.0,top
433,434,Stefano Piccinini\6010ba04,3.0,bad
434,435,Roberto Piccoli\1cadaf34,1.0,bad
435,436,Andrea Pinamonti\08aa9cd1,9.0,bad
436,437,Simone Pinna\6523afa4,1.0,bad
437,438,Carlo Pinsoglio\f6a06749,9.0,bad
438,439,Lorenzo Pirola\caec77da,1.0,bad
439,440,Fabio Pisacane\56400c01,2.0,bad
440,441,Miralem Pjanić\ad6df2d5,45.0,top
441,442,Andrea Poli\b3fd7075,8.0,bad
442,443,Matteo Politano\5e861944,26.0,top
443,444,Matteo Politano\5e861944,24.0,normal
444,445,Erick Pulgar\4611e028,3.0,bad
445,446,Ignacio Pussetto\62437b4f,4.0,bad
446,447,Fabio Quagliarella\ee4f2f3b,17.0,normal
447,448,Adrien Rabiot\8794e251,25.0,normal
448,449,Ivan Radovanović\023937a9,3.0,bad
449,450,Ionuț Radu\67f649be,9.0,normal
450,451,Ștefan Radu\53de807a,9.0,normal
451,452,Boris Radunović\0dfce079,4.0,bad
452,453,Rafael\dd06d56c,2.0,normal
453,454,Daniele Ragatzu\282b3a4d,4.0,bad
454,455,Gastón Ramírez\2c851997,1.0,bad
455,456,Aaron Ramsey\ef619b0b,37.0,normal
456,457,Luca Ranieri\8c63fae5,3.0,bad
457,458,Andrea Ranocchia\539230cf,15.0,normal
