Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,R - Rig,Rigori,Rig T,Amm.,Esp.,Reti,Assist,R + A,R - Rig,R + A - Rig,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Partite
108,Alberto Cerri\1079c685,it ITA,Att,Cagliari,23,1996,11,1,244,2.7,1,0,1,0,0,1,0,037,000,037,037,037,0.6,0.6,0.2,08,023,006,029,023,029,Partite
109,Alberto Cerri\1079c685,it ITA,Att,SPAL,23,1996,8,5,420,4.7,1,0,1,0,0,1,0,021,000,021,021,021,1.2,1.2,0.7,19,026,016,042,026,042,Partite
110,Julian Chabot\ae7058f9,de GER,Dif,Sampdoria,21,1998,8,7,569,6.3,1,0,1,0,0,1,1,016,000,016,016,016,0.1,0.1,0.0,01,001,000,001,001,001,Partite
111,Jhon Chancellor\84b6acaa,ve VEN,Dif,Brescia,27,1992,26,26,2.244,24.9,3,0,3,0,0,3,0,012,000,012,012,012,2.0,2.0,0.0,20,008,000,008,008,008,Partite
112,Giorgio Chiellini\e85fb9b8,it ITA,Dif,Juventus,34,1984,4,3,202,2.2,1,0,1,0,0,0,0,045,000,045,045,045,0.2,0.2,0.0,02,010,000,010,010,010,Partite
113,Federico Chiesa\b0f7e36c,it ITA,AttDif,Fiorentina,21,1997,34,31,2.637,29.3,11,6,10,1,2,7,0,038,020,058,034,055,11.3,9.8,5.5,153,038,019,057,033,052,Partite
114,Vlad Chiricheș\c316607a,ro ROU,Dif,Sassuolo,29,1989,9,8,707,7.9,0,0,0,0,0,0,0,000,000,000,000,000,0.2,0.2,0.0,02,002,000,002,002,002,Partite
115,Luca Cigarini\ae64d449,it ITA,Cen,Cagliari,33,1986,22,19,1.598,17.8,0,4,0,0,0,8,1,000,023,023,000,023,0.3,0.3,3.0,33,002,017,019,002,019,Partite
116,Thiago Cionek\46f5c54d,pl POL,Dif,SPAL,33,1986,28,23,2.169,24.1,0,1,0,0,0,11,0,000,004,004,000,004,0.4,0.4,1.0,14,002,004,006,002,006,Partite
117,Andrea Cistana\fe6a7685,it ITA,Dif,Brescia,22,1997,21,21,1.838,20.4,1,0,1,0,0,7,1,005,000,005,005,005,0.4,0.4,0.6,10,002,003,005,002,005,Partite
118,Denilho Cleonise\91c9de34,nl NED,Att,Genoa,17,2001,4,0,47,0.5,0,0,0,0,0,2,0,000,000,000,000,000,0.3,0.3,0.0,03,051,000,051,051,051,Partite
119,Ebrima Colley\bf356094,gm GAM,Att,Atalanta,19,2000,5,0,82,0.9,0,1,0,0,0,1,0,000,110,110,000,110,0.4,0.4,0.6,10,046,062,108,046,108,Partite
120,Omar Colley\8b95acda,gm GAM,Dif,Sampdoria,26,1992,31,30,2.772,30.8,0,1,0,0,0,10,0,000,003,003,000,003,2.9,2.9,0.4,33,009,001,011,009,011,Partite
121,Simone Colombi\72be9309,it ITA,Por,Parma,28,1991,4,4,360,4.0,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
122,Lorenzo Colombo\04df29a5,it ITA,Att,Milan,17,2002,1,0,9,0.1,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
123,Andrea Consigli\8cabdc1e,it ITA,Por,Sassuolo,32,1987,31,31,2.790,31.0,0,0,0,0,0,1,0,000,000,000,000,000,0.0,0.0,0.8,08,000,002,002,000,002,Partite
124,Andrea Conti\8fef5412,it ITA,Dif,Milan,25,1994,23,21,1.725,19.2,0,2,0,0,0,8,0,000,010,010,000,010,0.0,0.0,1.5,15,000,008,008,000,008,Partite
125,Gabriele Corbo\091795f2,it ITA,Dif,Bologna,19,2000,2,1,122,1.4,0,0,0,0,0,1,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
126,Andreas Cornelius\c693347d,dk DEN,Att,Parma,26,1993,26,17,1.494,16.6,12,3,12,0,0,1,0,072,018,090,072,090,7.2,7.2,1.6,88,043,010,053,043,053,Partite
127,Joaquín Correa\45b9b619,ar ARG,AttCen,Lazio,24,1994,30,22,2.002,22.2,9,2,9,0,1,0,0,040,009,049,040,049,10.1,9.3,2.8,121,045,013,058,042,054,Partite
128,Angelo da Costa Júnior\18736214,br BRA,Por,Bologna,35,1983,1,1,90,1.0,0,0,0,0,0,0,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
129,Douglas Costa\4fa7cb9b,br BRA,AttCen,Juventus,28,1990,23,7,802,8.9,1,4,1,0,0,1,0,011,045,056,011,056,1.1,1.1,3.3,44,012,037,049,012,049,Partite
130,Alessio Cragno\f554e29b,it ITA,Por,Cagliari,25,1994,16,16,1.440,16.0,0,0,0,0,0,1,0,000,000,000,000,000,0.0,0.0,0.0,00,000,000,000,000,000,Partite
